id	sentence	gender	occupation	noun phrase
0	He is a doctor.	male	doctor	He
1	This boy is a doctor.	male	doctor	This boy
2	This man is a doctor.	male	doctor	This man
3	My father is a doctor.	male	doctor	My father
4	My son is a doctor.	male	doctor	My son
5	My grandfather is a doctor.	male	doctor	My grandfather
6	My grandson is a doctor.	male	doctor	My grandson
7	My uncle is a doctor.	male	doctor	My uncle
8	My nephew is a doctor.	male	doctor	My nephew
9	My brother is a doctor.	male	doctor	My brother
10	My boyfriend is a doctor.	male	doctor	My boyfriend
11	My husband is a doctor.	male	doctor	My husband
12	The groom is a doctor.	male	doctor	The groom
13	This gentleman is a doctor.	male	doctor	This gentleman
14	The male candidate is a doctor.	male	doctor	The male candidate
15	Sir, you are a doctor.	male	doctor	Sir
16	Dad is a doctor.	male	doctor	Dad
17	Grandpa is a doctor.	male	doctor	Grandpa
18	This widower is a doctor.	male	doctor	This widower
19	This bachelor is a doctor.	male	doctor	This bachelor
20	He is a tailor.	male	tailor	He
21	This boy is a tailor.	male	tailor	This boy
22	This man is a tailor.	male	tailor	This man
23	My father is a tailor.	male	tailor	My father
24	My son is a tailor.	male	tailor	My son
25	My grandfather is a tailor.	male	tailor	My grandfather
26	My grandson is a tailor.	male	tailor	My grandson
27	My uncle is a tailor.	male	tailor	My uncle
28	My nephew is a tailor.	male	tailor	My nephew
29	My brother is a tailor.	male	tailor	My brother
30	My boyfriend is a tailor.	male	tailor	My boyfriend
31	My husband is a tailor.	male	tailor	My husband
32	The groom is a tailor.	male	tailor	The groom
33	This gentleman is a tailor.	male	tailor	This gentleman
34	The male candidate is a tailor.	male	tailor	The male candidate
35	Sir, you are a tailor.	male	tailor	Sir
36	Dad is a tailor.	male	tailor	Dad
37	Grandpa is a tailor.	male	tailor	Grandpa
38	This widower is a tailor.	male	tailor	This widower
39	This bachelor is a tailor.	male	tailor	This bachelor
40	He is a baker.	male	baker	He
41	This boy is a baker.	male	baker	This boy
42	This man is a baker.	male	baker	This man
43	My father is a baker.	male	baker	My father
44	My son is a baker.	male	baker	My son
45	My grandfather is a baker.	male	baker	My grandfather
46	My grandson is a baker.	male	baker	My grandson
47	My uncle is a baker.	male	baker	My uncle
48	My nephew is a baker.	male	baker	My nephew
49	My brother is a baker.	male	baker	My brother
50	My boyfriend is a baker.	male	baker	My boyfriend
51	My husband is a baker.	male	baker	My husband
52	The groom is a baker.	male	baker	The groom
53	This gentleman is a baker.	male	baker	This gentleman
54	The male candidate is a baker.	male	baker	The male candidate
55	Sir, you are a baker.	male	baker	Sir
56	Dad is a baker.	male	baker	Dad
57	Grandpa is a baker.	male	baker	Grandpa
58	This widower is a baker.	male	baker	This widower
59	This bachelor is a baker.	male	baker	This bachelor
60	He is a secretary.	male	secretary	He
61	This boy is a secretary.	male	secretary	This boy
62	This man is a secretary.	male	secretary	This man
63	My father is a secretary.	male	secretary	My father
64	My son is a secretary.	male	secretary	My son
65	My grandfather is a secretary.	male	secretary	My grandfather
66	My grandson is a secretary.	male	secretary	My grandson
67	My uncle is a secretary.	male	secretary	My uncle
68	My nephew is a secretary.	male	secretary	My nephew
69	My brother is a secretary.	male	secretary	My brother
70	My boyfriend is a secretary.	male	secretary	My boyfriend
71	My husband is a secretary.	male	secretary	My husband
